Mental Health Issue,HIV/AIDS,Tobacco Use,Alcohol Use,Access to Mental Health Services,Access to SRH Education,Physical Activity,Overweight/Obesity,Age Group,Education Level,Coping Mechanism
0.28,0.031,0.03,0.2,0.041,0.62,0.54,0.04,15-20,No Formal Education,Socializing
0.59,0.023,0.1,0.23,0.033,0.44,0.49,0.12,26-30,Secondary,Exercise
0.39,0.023,0.11,0.14,0.052,0.57,0.27,0.05,15-20,Tertiary,Seeking Help
0.27,0.02,0.12,0.16,0.038,0.52,0.46,0.12,15-20,Secondary,Socializing
0.46,0.012,0.11,0.15,0.041,0.73,0.4,0.11,21-25,Secondary,Isolation
0.11,0.01,0.14,0.2,0.063,0.51,0.52,0.03,26-30,Primary,Seeking Help
0.29,0.023,0.17,0.09,0.034,0.67,0.48,0.05,15-20,Secondary,Socializing
0.26,0.025,0.2,0.1,0.094,0.58,0.5,0.14,15-20,Primary,Socializing
0.31,0.015,0.16,0.21,0.055,0.51,0.37,0.08,26-30,Secondary,Socializing
0.32,0.018,0.08,0.15,0.048,0.71,0.46,0.07,15-20,Primary,Seeking Help
0.27,0.023,0.13,0.07,0.021,0.63,0.33,0.08,15-20,Secondary,Socializing
0.39,0.013,0.14,0.14,0.063,0.58,0.35,0.08,15-20,Primary,Socializing
0.42,0.026,0.15,0.15,0.097,0.48,0.3,0.07,21-25,Secondary,Seeking Help
0.17,0.022,0.12,0.15,0.035,0.5,0.35,0.09,26-30,Secondary,Socializing
0.17,0.02,0.08,0.15,0.075,0.8,0.49,0.16,21-25,Secondary,Exercise
0.47,0.029,0.07,0.18,0.065,0.73,0.46,0.1,21-25,Tertiary,Substance Use
0.26,0.022,0.11,0.11,0.026,0.44,0.52,0.19,21-25,Secondary,Isolation
0.14,0.022,0.15,0.18,0.066,0.66,0.41,0.12,21-25,Secondary,Isolation
0.28,0.018,0.13,0.16,0.088,0.52,0.22,0.09,21-25,Tertiary,Isolation
0.34,0.018,0.08,0.08,0.103,0.64,0.43,0.08,15-20,Secondary,Exercise
0.36,0.017,0.15,0.12,0.059,0.7,0.57,0.17,21-25,Secondary,Seeking Help
0.35,0.016,0.16,0.18,0.043,0.5,0.44,0.1,21-25,Secondary,Exercise
0.3,0.025,0.07,0.14,0.048,0.57,0.5,0.07,21-25,Secondary,Seeking Help
0.16,0.015,0.12,0.15,0.057,0.61,0.5,0.14,15-20,Tertiary,Isolation
0.3,0.021,0.14,0.16,0.069,0.67,0.33,0.11,26-30,Secondary,Socializing
0.37,0.016,0.08,0.16,0.051,0.46,0.34,0.02,26-30,Secondary,Isolation
0.41,0.021,0.14,0.22,0.017,0.51,0.44,0.01,26-30,Primary,Substance Use
0.34,0.02,0.12,0.22,0.049,0.71,0.48,0.06,15-20,Tertiary,Exercise
0.43,0.016,0.15,0.08,0.053,0.47,0.29,0.03,15-20,Secondary,Substance Use
0.19,0.022,0.12,0.18,0.041,0.58,0.37,0.05,21-25,No Formal Education,Socializing
0.31,0.015,0.17,0.17,0.053,0.37,0.48,0.02,21-25,No Formal Education,Isolation
0.27,0.02,0.11,0.13,0.037,0.69,0.27,0.03,15-20,Primary,Exercise
0.48,0.008,0.12,0.09,0.029,0.55,0.38,0.07,26-30,Secondary,Exercise
0.39,0.023,0.09,0.16,0.04,0.62,0.22,0.08,26-30,Secondary,Isolation
0.62,0.023,0.13,0.11,0.078,0.59,0.48,0.14,26-30,Secondary,Socializing
0.33,0.028,0.14,0.04,0.066,0.4,0.25,0.11,26-30,Tertiary,Seeking Help
0.38,0.023,0.15,0.31,0.078,0.6,0.38,0.15,21-25,Secondary,Exercise
0.33,0.013,0.14,0.13,0.036,0.58,0.49,0.11,15-20,Secondary,Seeking Help
0.19,0.013,0.13,0.06,0.047,0.49,0.33,0.06,15-20,Tertiary,Socializing
0.27,0.025,0.06,0.11,0.035,0.51,0.31,0.11,21-25,Secondary,Socializing
0.31,0.028,0.14,0.17,0.056,0.63,0.62,0.09,26-30,Secondary,Seeking Help
0.17,0.01,0.08,0.12,0.01,0.57,0.36,0.14,21-25,Secondary,Socializing
0.3,0.019,0.1,0.2,0.048,0.59,0.55,0.12,21-25,Primary,Isolation
0.17,0.02,0.08,0.26,0.031,0.54,0.59,0.09,26-30,Secondary,Exercise
0.61,0.018,0.11,0.23,0.053,0.5,0.41,0.14,26-30,Secondary,Socializing
0.42,0.02,0.14,0.21,0.065,0.58,0.28,0.07,21-25,Primary,Seeking Help
0.35,0.023,0.17,0.1,0.026,0.71,0.33,0.14,26-30,Primary,Seeking Help
0.4,0.03,0.1,0.2,0.025,0.61,0.39,0.09,26-30,Primary,Exercise
0.44,0.023,0.11,0.2,0.071,0.58,0.15,0.12,21-25,Secondary,Seeking Help
0.45,0.019,0.1,0.16,0.052,0.64,0.43,0.06,21-25,Primary,Exercise
0.33,0.021,0.14,0.08,0.055,0.63,0.39,0.04,26-30,Primary,Socializing
0.28,0.014,0.09,0.09,0.062,0.54,0.44,0.13,26-30,Secondary,Seeking Help
0.34,0.02,0.08,0.17,0.053,0.53,0.5,0.17,21-25,Primary,Exercise
0.31,0.021,0.16,0.11,0.028,0.53,0.53,0.06,26-30,No Formal Education,Isolation
0.17,0.019,0.05,0.13,0.05,0.46,0.42,0.05,21-25,Primary,Seeking Help
0.12,0.015,0.12,0.13,0.042,0.68,0.37,0.15,21-25,Secondary,Exercise
0.4,0.018,0.08,0.13,0.052,0.57,0.25,0.09,21-25,Secondary,Socializing
0.4,0.018,0.15,0.18,0.045,0.8,0.35,0.2,15-20,Secondary,Seeking Help
0.29,0.015,0.14,0.15,0.063,0.55,0.49,0.16,21-25,Tertiary,Isolation
0.2,0.014,0.11,0.13,0.062,0.69,0.38,0.12,15-20,Primary,Exercise
0.24,0.014,0.05,0.11,0.068,0.57,0.39,0.12,21-25,Primary,Exercise
0.36,0.023,0.1,0.1,0.063,0.6,0.41,0.06,21-25,Secondary,Seeking Help
0.27,0.016,0.12,0.15,0.066,0.57,0.41,0.13,26-30,Primary,Exercise
0.18,0.016,0.14,0.11,0.064,0.56,0.51,0.05,15-20,Secondary,Seeking Help
0.33,0.028,0.14,0.16,0.062,0.72,0.46,0.12,21-25,Secondary,Isolation
0.24,0.016,0.14,0.11,0.055,0.62,0.38,0.2,21-25,Primary,Socializing
0.38,0.027,0.07,0.18,0.024,0.55,0.45,0.11,21-25,Secondary,Substance Use
0.33,0.027,0.1,0.13,0.034,0.43,0.37,0.12,15-20,Secondary,Seeking Help
0.4,0.019,0.1,0.13,0.055,0.55,0.17,0.17,15-20,Secondary,Substance Use
0.24,0.022,0.11,0.11,0.043,0.68,0.19,0.01,26-30,Tertiary,Socializing
0.43,0.014,0.12,0.11,0.054,0.56,0.21,0.17,15-20,Primary,Socializing
0.19,0.015,0.16,0.16,0.067,0.53,0.19,0.09,26-30,Tertiary,Exercise
0.27,0.024,0.11,0.2,0.031,0.64,0.37,0.16,15-20,Secondary,Socializing
0.2,0.027,0.13,0.25,0.068,0.45,0.4,0.0,21-25,Primary,Exercise
0.17,0.023,0.15,0.15,0.046,0.88,0.4,0.16,26-30,Primary,Socializing
0.21,0.018,0.08,0.15,0.045,0.78,0.16,0.09,15-20,Secondary,Isolation
0.2,0.018,0.13,0.12,0.089,0.69,0.37,0.14,26-30,Secondary,Isolation
0.51,0.02,0.14,0.18,0.005,0.65,0.39,0.02,21-25,Secondary,Seeking Help
0.27,0.025,0.09,0.17,0.065,0.46,0.35,0.11,21-25,Primary,Seeking Help
0.33,0.017,0.16,0.12,0.082,0.42,0.18,0.0,26-30,Primary,Socializing
0.26,0.019,0.13,0.17,0.066,0.62,0.61,0.15,26-30,Secondary,Socializing
0.32,0.023,0.16,0.08,0.04,0.73,0.4,0.13,26-30,Secondary,Exercise
0.32,0.025,0.16,0.19,0.032,0.59,0.49,0.07,21-25,Tertiary,Substance Use
0.2,0.019,0.13,0.15,0.042,0.53,0.43,0.0,21-25,Secondary,Exercise
0.3,0.018,0.1,0.11,0.049,0.57,0.24,0.14,15-20,Secondary,Socializing
0.15,0.017,0.14,0.14,0.013,0.54,0.43,0.06,26-30,Primary,Exercise
0.25,0.024,0.04,0.16,0.076,0.69,0.37,0.07,26-30,Tertiary,Substance Use
0.34,0.021,0.09,0.23,0.032,0.5,0.45,0.1,15-20,Secondary,Seeking Help
0.39,0.016,0.12,0.22,0.028,0.64,0.52,0.13,21-25,Secondary,Seeking Help
0.22,0.029,0.13,0.15,0.048,0.59,0.45,0.04,21-25,Secondary,Isolation
0.43,0.023,0.2,0.2,0.068,0.87,0.28,0.0,26-30,Primary,Seeking Help
0.41,0.021,0.15,0.03,0.054,0.52,0.36,0.16,26-30,Secondary,Exercise
0.24,0.02,0.19,0.18,0.084,0.6,0.3,0.08,21-25,Primary,Substance Use
0.2,0.017,0.11,0.16,0.075,0.74,0.37,0.1,26-30,Secondary,Socializing
0.24,0.012,0.09,0.14,0.062,0.45,0.35,0.09,15-20,Primary,Exercise
0.14,0.025,0.11,0.08,0.043,0.75,0.41,0.1,21-25,No Formal Education,Isolation
0.18,0.017,0.12,0.2,0.032,0.5,0.28,0.11,21-25,No Formal Education,Isolation
0.17,0.017,0.07,0.14,0.048,0.51,0.3,0.07,15-20,Secondary,Substance Use
0.33,0.019,0.12,0.14,0.057,0.71,0.45,0.13,21-25,Tertiary,Seeking Help
0.36,0.018,0.12,0.13,0.059,0.56,0.53,0.13,21-25,Secondary,Exercise
0.51,0.026,0.06,0.15,0.046,0.64,0.55,0.17,26-30,Secondary,Isolation
0.4,0.014,0.12,0.18,0.047,0.61,0.41,0.12,21-25,No Formal Education,Socializing
0.3,0.018,0.07,0.12,0.039,0.75,0.37,0.08,26-30,Primary,Isolation
0.26,0.013,0.11,0.17,0.062,0.44,0.18,0.02,26-30,Secondary,Socializing
0.43,0.016,0.14,0.15,0.059,0.58,0.37,0.13,15-20,No Formal Education,Exercise
0.18,0.018,0.07,0.19,0.053,0.57,0.43,0.12,21-25,Primary,Seeking Help
0.3,0.026,0.11,0.22,0.071,0.67,0.54,0.06,15-20,Tertiary,Isolation
0.18,0.019,0.15,0.15,0.112,0.67,0.46,0.08,15-20,Primary,Socializing
0.36,0.022,0.13,0.2,0.043,0.57,0.3,0.06,21-25,No Formal Education,Exercise
0.43,0.015,0.12,0.22,0.069,0.66,0.47,0.14,15-20,Tertiary,Substance Use
0.14,0.019,0.13,0.2,0.005,0.74,0.52,0.02,21-25,Tertiary,Exercise
0.49,0.019,0.08,0.14,0.029,0.58,0.3,0.16,21-25,Secondary,Exercise
0.2,0.009,0.1,0.14,0.033,0.63,0.34,0.17,26-30,Primary,Exercise
0.23,0.018,0.12,0.15,0.046,0.65,0.54,0.09,26-30,No Formal Education,Seeking Help
0.32,0.027,0.11,0.06,0.059,0.7,0.53,0.1,21-25,Secondary,Socializing
0.19,0.017,0.14,0.14,0.051,0.78,0.46,0.17,26-30,Secondary,Isolation
0.5,0.026,0.14,0.13,0.014,0.59,0.3,0.1,21-25,Tertiary,Substance Use
0.14,0.026,0.11,0.13,0.068,0.65,0.34,0.07,15-20,No Formal Education,Isolation
0.22,0.013,0.15,0.12,0.055,0.61,0.49,0.1,26-30,Secondary,Isolation
0.22,0.017,0.09,0.16,0.033,0.46,0.37,0.04,21-25,Secondary,Seeking Help
0.39,0.012,0.13,0.07,0.051,0.66,0.55,0.18,15-20,Secondary,Exercise
0.23,0.02,0.17,0.12,0.052,0.49,0.54,0.04,21-25,Tertiary,Seeking Help
0.38,0.03,0.16,0.12,0.021,0.55,0.51,0.11,21-25,Primary,Isolation
0.32,0.027,0.07,0.16,0.043,0.49,0.38,0.05,15-20,Secondary,Socializing
0.29,0.02,0.15,0.2,0.056,0.56,0.35,0.13,15-20,Secondary,Exercise
0.16,0.019,0.08,0.23,0.029,0.35,0.39,0.14,26-30,Secondary,Socializing
0.24,0.03,0.05,0.14,0.054,0.62,0.26,0.15,21-25,Primary,Exercise
0.23,0.015,0.13,0.13,0.049,0.48,0.35,0.1,15-20,Tertiary,Socializing
0.17,0.023,0.15,0.11,0.057,0.54,0.45,0.02,26-30,Secondary,Substance Use
0.24,0.012,0.08,0.22,0.048,0.54,0.41,0.05,21-25,Secondary,Exercise
0.39,0.012,0.16,0.14,0.025,0.59,0.51,0.06,21-25,Primary,Seeking Help
0.29,0.015,0.11,0.05,0.019,0.72,0.58,0.11,21-25,No Formal Education,Seeking Help
0.36,0.017,0.09,0.21,0.077,0.65,0.46,0.02,21-25,Secondary,Exercise
0.26,0.02,0.13,0.05,0.069,0.59,0.49,0.11,15-20,Primary,Seeking Help
0.26,0.023,0.14,0.21,0.032,0.6,0.26,0.07,26-30,Secondary,Seeking Help
0.39,0.015,0.15,0.15,0.072,0.56,0.39,0.06,26-30,Tertiary,Seeking Help
0.29,0.023,0.1,0.06,0.055,0.51,0.54,0.09,15-20,Primary,Seeking Help
0.13,0.032,0.13,0.17,0.078,0.68,0.21,0.2,26-30,Tertiary,Seeking Help
0.29,0.017,0.12,0.14,0.08,0.69,0.46,0.1,26-30,Tertiary,Socializing
0.25,0.02,0.08,0.06,0.057,0.78,0.38,0.1,15-20,Secondary,Socializing
0.32,0.023,0.09,0.11,0.028,0.54,0.46,0.16,15-20,Primary,Seeking Help
0.41,0.026,0.14,0.06,0.094,0.58,0.3,0.11,26-30,Primary,Socializing
0.37,0.01,0.11,0.06,0.029,0.48,0.63,0.13,21-25,No Formal Education,Substance Use
0.23,0.02,0.13,0.08,0.04,0.49,0.45,0.16,21-25,Secondary,Substance Use
0.23,0.031,0.15,0.22,0.064,0.71,0.45,0.12,26-30,Secondary,Substance Use
0.29,0.008,0.13,0.22,0.04,0.68,0.49,0.13,21-25,Secondary,Exercise
0.39,0.018,0.15,0.0,0.071,0.65,0.46,0.18,26-30,Secondary,Exercise
0.13,0.024,0.13,0.07,0.046,0.73,0.34,0.08,26-30,Primary,Substance Use
0.26,0.017,0.16,0.14,0.037,0.73,0.52,0.11,21-25,Secondary,Seeking Help
0.31,0.027,0.14,0.15,0.084,0.56,0.36,0.17,15-20,No Formal Education,Seeking Help
0.42,0.017,0.15,0.13,0.04,0.54,0.57,0.14,15-20,Secondary,Exercise
0.38,0.025,0.12,0.12,0.024,0.64,0.42,0.14,21-25,Secondary,Socializing
0.39,0.025,0.1,0.21,0.057,0.54,0.47,0.09,21-25,Secondary,Substance Use
0.08,0.018,0.13,0.05,0.04,0.51,0.33,0.12,21-25,Secondary,Isolation
0.42,0.024,0.1,0.14,0.054,0.47,0.37,0.03,21-25,Tertiary,Isolation
0.38,0.016,0.16,0.09,0.056,0.67,0.54,0.07,15-20,Tertiary,Socializing
0.36,0.027,0.13,0.2,0.077,0.52,0.5,0.08,21-25,Primary,Seeking Help
0.34,0.027,0.14,0.12,0.043,0.64,0.38,0.07,21-25,Secondary,Substance Use
0.34,0.031,0.12,0.09,0.034,0.59,0.47,0.11,21-25,Tertiary,Seeking Help
0.34,0.029,0.14,0.25,0.038,0.8,0.5,0.1,21-25,Secondary,Socializing
0.34,0.024,0.04,0.18,0.023,0.64,0.37,0.16,21-25,Secondary,Seeking Help
0.27,0.017,0.16,0.19,0.069,0.47,0.34,0.18,15-20,Primary,Socializing
0.41,0.028,0.04,0.13,0.029,0.58,0.29,0.21,21-25,Secondary,Exercise
0.31,0.025,0.1,0.1,0.037,0.64,0.45,0.09,26-30,No Formal Education,Isolation
0.25,0.017,0.12,0.18,0.032,0.54,0.47,0.07,26-30,Secondary,Seeking Help
0.31,0.019,0.14,0.15,0.039,0.65,0.19,0.04,26-30,Primary,Seeking Help
0.25,0.02,0.17,0.06,0.063,0.57,0.47,0.16,15-20,Secondary,Exercise
0.33,0.014,0.12,0.19,0.061,0.61,0.46,0.09,21-25,Tertiary,Exercise
0.34,0.017,0.14,0.13,0.089,0.66,0.39,0.07,15-20,Secondary,Isolation
0.23,0.025,0.09,0.11,0.037,0.63,0.51,0.13,26-30,Primary,Exercise
0.35,0.023,0.16,0.15,0.007,0.5,0.31,0.04,15-20,Secondary,Isolation
0.09,0.032,0.12,0.18,0.045,0.45,0.27,0.11,26-30,Primary,Seeking Help
0.39,0.015,0.1,0.15,0.017,0.83,0.41,0.05,26-30,Primary,Socializing
0.36,0.02,0.13,0.23,0.063,0.43,0.47,0.03,15-20,Tertiary,Seeking Help
0.26,0.019,0.12,0.14,0.044,0.68,0.49,0.04,26-30,Secondary,Seeking Help
0.19,0.023,0.15,0.09,0.035,0.61,0.43,0.07,26-30,Tertiary,Isolation
0.28,0.019,0.18,0.14,0.067,0.52,0.44,0.11,26-30,No Formal Education,Seeking Help
0.24,0.014,0.1,0.07,0.068,0.59,0.35,0.14,26-30,Primary,Socializing
0.35,0.017,0.05,0.19,0.072,0.81,0.49,0.02,15-20,Secondary,Seeking Help
0.52,0.026,0.17,0.1,0.063,0.75,0.4,0.09,15-20,Primary,Socializing
0.34,0.017,0.15,0.15,0.025,0.49,0.4,0.19,26-30,No Formal Education,Seeking Help
0.31,0.021,0.14,0.15,0.024,0.66,0.18,0.14,15-20,Secondary,Seeking Help
0.41,0.02,0.13,0.09,0.067,0.6,0.37,0.14,21-25,Secondary,Seeking Help
0.31,0.017,0.15,0.19,0.045,0.58,0.37,0.16,26-30,No Formal Education,Seeking Help
0.27,0.023,0.1,0.1,0.078,0.48,0.41,0.11,15-20,No Formal Education,Seeking Help
0.18,0.025,0.14,0.2,0.046,0.81,0.27,0.05,26-30,Secondary,Isolation
0.18,0.025,0.1,0.13,0.064,0.78,0.27,0.1,26-30,Primary,Seeking Help
0.27,0.02,0.18,0.17,0.036,0.51,0.37,0.07,26-30,Tertiary,Isolation
0.19,0.025,0.1,0.11,0.053,0.74,0.49,0.07,26-30,Secondary,Seeking Help
0.36,0.014,0.08,0.12,0.044,0.7,0.45,0.07,21-25,Primary,Isolation
0.31,0.018,0.14,0.15,0.035,0.59,0.31,0.16,21-25,Primary,Isolation
0.23,0.019,0.15,0.12,0.054,0.73,0.29,0.15,21-25,Secondary,Exercise
0.43,0.02,0.13,0.15,0.09,0.58,0.38,0.11,21-25,Secondary,Seeking Help
0.34,0.029,0.1,0.25,0.071,0.63,0.49,0.08,26-30,Secondary,Seeking Help
0.37,0.016,0.09,0.15,0.092,0.46,0.41,0.13,15-20,Secondary,Exercise
0.35,0.017,0.18,0.18,0.018,0.48,0.63,0.14,15-20,Secondary,Substance Use
0.25,0.018,0.11,0.15,0.073,0.67,0.35,0.1,21-25,No Formal Education,Isolation
0.29,0.025,0.08,0.1,0.036,0.69,0.32,0.11,15-20,Secondary,Socializing
0.48,0.022,0.09,0.04,0.044,0.55,0.52,0.06,26-30,Secondary,Exercise
0.14,0.029,0.13,0.2,0.038,0.72,0.51,0.07,15-20,Secondary,Socializing
0.38,0.019,0.13,0.17,0.069,0.43,0.19,0.09,15-20,No Formal Education,Isolation
0.22,0.022,0.08,0.13,0.058,0.5,0.31,0.09,21-25,Secondary,Seeking Help
0.32,0.023,0.1,0.1,0.042,0.74,0.31,0.0,15-20,Primary,Seeking Help
0.37,0.014,0.14,0.12,0.022,0.65,0.3,0.08,21-25,Primary,Socializing
0.29,0.02,0.15,0.21,0.062,0.56,0.37,0.16,26-30,Secondary,Exercise
0.35,0.019,0.14,0.18,0.065,0.64,0.54,0.18,15-20,Secondary,Seeking Help
0.06,0.023,0.11,-0.0,0.043,0.67,0.34,0.15,15-20,Secondary,Exercise
0.3,0.031,0.12,0.21,0.067,0.75,0.57,0.05,15-20,No Formal Education,Seeking Help
0.37,0.017,0.13,0.12,0.077,0.48,0.45,0.17,15-20,Secondary,Exercise
0.18,0.023,0.11,0.21,0.063,0.68,0.51,0.07,15-20,Secondary,Exercise
0.26,0.019,0.14,0.09,0.044,0.63,0.39,0.13,21-25,Primary,Isolation
0.36,0.016,0.13,0.2,0.063,0.72,0.56,0.08,21-25,Primary,Seeking Help
0.31,0.018,0.16,0.13,0.063,0.52,0.45,0.15,15-20,Secondary,Seeking Help
0.42,0.022,0.12,0.1,0.035,0.6,0.36,0.13,21-25,Secondary,Exercise
0.22,0.023,0.09,0.13,0.075,0.63,0.52,0.11,15-20,Primary,Isolation
0.32,0.023,0.1,0.16,0.034,0.46,0.41,0.16,21-25,Primary,Seeking Help
0.27,0.019,0.13,0.15,0.043,0.56,0.51,0.06,26-30,Primary,Socializing
0.4,0.016,0.08,0.13,0.045,0.72,0.31,0.14,21-25,Secondary,Isolation
0.26,0.015,0.12,0.17,0.025,0.55,0.26,0.13,26-30,Tertiary,Seeking Help
0.28,0.016,0.13,0.18,0.061,0.62,0.36,0.24,21-25,Secondary,Seeking Help
0.35,0.011,0.12,0.15,0.083,0.43,0.51,0.05,21-25,Primary,Exercise
0.17,0.017,0.08,0.21,0.0,0.69,0.24,0.11,15-20,Secondary,Seeking Help
0.42,0.019,0.11,0.23,0.065,0.39,0.41,0.08,26-30,Secondary,Exercise
0.12,0.011,0.15,0.12,0.085,0.55,0.44,0.02,15-20,Secondary,Seeking Help
0.19,0.017,0.11,0.15,0.022,0.67,0.56,0.11,26-30,No Formal Education,Socializing
0.27,0.019,0.13,0.12,0.057,0.74,0.47,0.0,21-25,Secondary,Socializing
0.1,0.025,0.1,0.13,0.042,0.48,0.37,0.07,26-30,Secondary,Exercise
0.19,0.019,0.11,0.18,0.041,0.54,0.45,0.03,21-25,Tertiary,Seeking Help
0.38,0.03,0.13,0.15,0.031,0.66,0.44,0.05,26-30,Tertiary,Substance Use
0.22,0.026,0.1,0.13,0.077,0.39,0.41,0.09,21-25,Secondary,Socializing
0.2,0.019,0.17,0.14,0.067,0.65,0.4,0.08,15-20,Secondary,Socializing
0.3,0.014,0.14,0.18,0.033,0.5,0.29,0.26,26-30,Tertiary,Seeking Help
0.35,0.014,0.1,0.09,0.031,0.65,0.32,0.05,21-25,Tertiary,Isolation
0.24,0.018,0.1,0.12,0.008,0.7,0.38,0.03,21-25,No Formal Education,Substance Use
0.34,0.016,0.15,0.16,0.064,0.71,0.61,0.19,15-20,Primary,Seeking Help
0.4,0.024,0.19,0.19,0.061,0.64,0.38,0.09,26-30,Secondary,Seeking Help
0.22,0.027,0.11,0.14,0.062,0.6,0.4,0.06,26-30,Secondary,Exercise
0.41,0.011,0.03,0.13,0.02,0.68,0.31,0.14,21-25,Primary,Seeking Help
0.39,0.028,0.11,0.28,0.069,0.52,0.49,0.03,21-25,Primary,Exercise
0.44,0.034,0.15,0.14,0.043,0.54,0.5,0.17,26-30,Secondary,Seeking Help
0.27,0.021,0.1,0.09,0.021,0.66,0.19,0.08,26-30,Primary,Isolation
0.37,0.016,0.13,0.17,0.028,0.61,0.21,0.06,26-30,Secondary,Seeking Help
0.45,0.022,0.09,0.14,0.056,0.81,0.5,0.02,26-30,Tertiary,Socializing
0.27,0.02,0.15,0.07,0.07,0.69,0.58,0.04,21-25,Secondary,Isolation
0.46,0.024,0.11,0.11,0.03,0.49,0.33,0.13,26-30,Primary,Socializing
0.31,0.018,0.13,0.23,0.012,0.52,0.47,0.11,21-25,Primary,Exercise
0.29,0.023,0.15,0.19,0.038,0.58,0.33,0.07,21-25,Secondary,Seeking Help
0.17,0.02,0.14,0.17,0.055,0.76,0.2,0.07,21-25,Primary,Exercise
0.37,0.014,0.15,0.17,0.033,0.62,0.36,0.1,26-30,Secondary,Isolation
0.49,0.021,0.12,0.11,0.0,0.51,0.27,0.02,26-30,Secondary,Isolation
0.16,0.018,0.1,0.18,0.086,0.66,0.6,0.08,26-30,Secondary,Socializing
0.35,0.018,0.12,0.11,0.07,0.62,0.32,0.08,21-25,Secondary,Substance Use
0.39,0.015,0.05,0.12,0.081,0.79,0.41,0.04,21-25,Tertiary,Exercise
0.24,0.029,0.16,0.2,0.062,0.54,0.43,0.13,21-25,Tertiary,Substance Use
